Codigo;Materia
PGC201;ANTROPOLOGÍA E IDENTIDAD GASTRONÓMICA
BIO5062;COMPUESTOS BIOACTIVOS Y BIOPROSPECCIÓN
PGC203;BIOQUÍMICA DE ALIMENTOS
PDS036;COMUNIDAD Y DESARROLLO SOCIAL
PGC204;INTRODUCCIÓN A LA ADMINISTRACIÓN
PGC204;INTRODUCCIÓN A LA ADMINISTRACIÓN
PGC204;INTRODUCCIÓN A LA ADMINISTRACIÓN
PDS040;CONFLICTO EN CONTEXTOS DE DESARROLLO
PGC205;METODOLOGÍA Y TÉCNICAS DE LA INVESTIGACIÓN
PGC205;METODOLOGÍA Y TÉCNICAS DE LA INVESTIGACIÓN
PGC205;METODOLOGÍA Y TÉCNICAS DE LA INVESTIGACIÓN
GC414;CONFLICTOS COMUNITARIOS Y ALTERNATIVAS DE CONSTRUCCIÓN DE PAZ
PGC206;INFORMÁTICA APLICADA
GC115;CONSTITUCIÓN COLOMBIANA Y FORMACIÓN DEMOCRÁTICA
PGC207;INGLÉS II
INS067;CONSTITUCIÓN POLÍTICA  (VIRTUAL)
PGC202;ESTÉTICA CULINARIA
PGC202;ESTÉTICA CULINARIA
PGC202;ESTÉTICA CULINARIA
CV805;CONSTRUCCION DE AMOBLAMIENTO URBANO
PGC301;ANÁLISIS DE COSTOS GASTRONÓMICOS
CC501;CONSTRUCCIÓN DE INSTALACIONES ELÉCTRICAS
CC601;CONSTRUCCIÓN DE INSTALACIONES EN REDES DE GAS
PGC303;MICROBIOLOGÍA Y CONSERVACIÓN DE LOS ALIMENTOS
PGC303;MICROBIOLOGÍA Y CONSERVACIÓN DE LOS ALIMENTOS
CC604;CONSTRUCCIÓN DE INSTALACIONES ESPECIALES
PGC302;CULTURA GASTRONÓMICA COLOMBIANA I
CC602;CONSTRUCCIÓN DE INSTALACIONES HIDRÁULICAS
PGC305;COCINA Y MEDIO AMBIENTE
CC502;CONSTRUCCIÓN DE INSTALACIONES HIDROSANITARIAS
PGC307;INGLÉS III
CV708;CONSTRUCCION DE OBRA BLANCA
PGC304;COCINA REGIONAL
PGC304;COCINA REGIONAL
CV503;CONSTRUCCION DE PAVIMENTOS Y VIAS
PGC401;GASTROTECNOLOGÍA
CV807;CONSTRUCCION EN ESTRUCTURAS METALICAS
ARQA104;CONSTRUCCIÓN I: INTRODUCCIÓN A LOS SISTEMAS CONSTRUCTIVOS
PGC403;FUNDAMENTOS DE MERCADEO
ARQA205;CONSTRUCCIÓN II: RECURSOS
PGC404;COCINA COLOMBIANA I
ARQA303;CONSTRUCCIÓN III: CONSTRUCCIÓN DE EDIFICACIONES
CV603;CONSTRUCCION SOSTENIBLE I
PGC407;INGLÉS IV
PGC407;INGLÉS IV
TGA30101;CONSTRUCCION SOSTENIBLE I
IA7003;CONSTRUCCIÓN SOSTENIBLE I
PGC501;ADMINISTRACIÓN DE SERVICIOS GASTRONÓMICOS
CV703;CONSTRUCCION SOSTENIBLE II
PGC502;MIXOLOGÍA
TGA40101;CONSTRUCCION SOSTENIBLE II
PGC504;COCINA COLOMBIANA II
IA8003;CONSTRUCCIÓN SOSTENIBLE II
PGC503;PANIFICACIÓN Y USOS DEL PAN
TGA50101;CONSTRUCCION SOSTENIBLE III
PGC507;INGLES V
IA9003;CONSTRUCCIÓN SOSTENIBLE III
PGC5052;MERCADOS Y CLIENTES I
ARQA605;CONSTRUCCIÓN V: INSTALACIONES BÁSICAS Y ESPECIALES
PGC604;COCINA INTERNACIONAL I
CV705;CONSTRUCCIONES EN MADERA
PGC607;INGLÉS VI
PDS017;CONTABILIDAD
PGC603;REPOSTERÍA Y PASTELERÍA
AE402;CONTABILIDAD ADMINISTRATIVA
AET203;CONTABILIDAD FINANCIERA
PGC602;SUMILLERÍA Y BARISMO
INS054;CONTEXTO HISTORICO Y  POLÍTICO COLOMBIANO
PGC6052;MERCADOS Y CLIENTES II
CV701;CONTRATACION DE OBRA
TSG206;CONTROL DE COSTOS Y GASTOS EN CULINARIA
AET305;COSTOS PARA LA TOMA DE DECISIONES
PGC704;COCINA INTERNACIONAL II
CC603;COSTOS Y PRESUPUESTO DE OBRA
